"","id","Job.Title","Job.Description","Est_Salary","Max_Salary","Min_Salary","City","State","Easy.Apply","Revenue_USD","Rating","Size","Industry","Sector","Type.of.ownership","Years_Founded","Company.Name","lat","lon"
"1",349,"Data Scientist","Position Overview

Our data science team is expanding! The successful candidate will work with the data science and engineering teams on challenging projects in a variety of domains.

Beyond Limits is a pioneering Artificial Intelligence company and a satellite of NASA's Jet Propulsion Lab and Caltech. Beyond Limits cognitive computing technology combines numeric and symbolic techniques to provide advanced solutions that go far beyond conventional AI.

Job Duties/Responsibilities
Ingest, organize, and analyze data from various sources (e.g. CSV, relational database)
Scope unstructured problems or messy data for tractable insights
Identify candidate statistical or machine learning solutions and test their efficacy
Communicate technical work and findings both verbally and through written reports and visualizations
Work in a collaborative environment to brainstorm, design, implement and deliver solutions to challenging problems
Qualifications and Skills
5+ years of relevant industry work experience
Excellent understanding of statistical or machine learning techniques, such as clustering, regression, time series forecasting, tree-based methods, sampling methods
Demonstrated ability using scientific computing libraries, such as NumPy, Pandas, SciPy, Scikit-learn, Matplotlib, and Plotly
Programming proficiency in Python or R
Preferred Requirements
Ph.D. or Master＊s
Strong statistical knowledge and experience with hypothesis testing
Fluency with machine learning algorithms, such as CNN, RNN, reinforcement learning, support vector machines, and graph-based models
Experience with TensorFlow, Keras, or PyTorch
Experience with version control systems (e.g. Git flow)
Strong oral and verbal communication skills
Research experience with high impact publications
Experience working with cross-functional teams and/or customer facing work
About Beyond Limits
Beyond Limits is a pioneering Artificial Intelligence engineering company creating advanced software solutions that go beyond conventional AI. Founded in 2014 with a legacy in space exploration, Beyond Limits is transforming proven technologies from Caltech and NASA＊s Jet Propulsion Laboratory into advanced AI solutions, hardened to industrial strength, and put to work for forward-looking companies on earth. We leverage this unparalleled innovation portfolio, along with proprietary cognitive technologies, to help companies solve tough, complex, mission-critical problems and transform their business. We apply a unique hybrid approach to AI, combining numeric AI techniques like machine learning with higher-order symbolic AI and expert human knowledge to deliver intuitive cognitive reasoning and information. Our cognitive computing technology mimics human thought processes and provides explainable reasoning to aid human-like decision-making.

Beyond Limits provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Beyond Limits complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Beyond Limits expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Beyond Limit＊s employees to perform their job duties may result in discipline up to and including discharge.",133,164,102,"Glendale","AZ",NA,"Unknown",4.2,"51 to 200 employees","Research & Development","Business Services","Company - Private",6,"Beyond Limits",34.1469,-118.247847
"2",402,"Data Analyst","Data Analyst


A prominent financial affiliate network is seeking a Senior Data Analyst to monitor and support its data processes.
The ideal candidate would be able to develop new reports, frameworks, dashboards, and other tools for the company.

Responsibilities
Track ROI
Close interaction with IT Team to design/improve data architecture
Identify optimization opportunities using predictive modeling
Develop and implement advanced custom models and algorithms
Develop tools to monitor and analyze model performance and data accuracy

Qualifications
Bachelor in Mathematics or computer science
Knowledge of R, Python, SQL
Rigorous statistical intuition, deep understanding of core statistical principles, and extensive experience with core methods
Knowledge of advanced statistical techniques and concepts
Experience creating and using advanced machine learning algorithms

Your current skills should include
You are highly organized with the ability to multi-task and prioritize in a fast-paced culture
You are a critical thinker and able to problem solve
You have strong verbal communication skills
Russian fluency is preferred but not required
We look forward to hearing from all applicants who meet the requirements listed above.

Submit Your Resume Online",146.5,180,113,"Glendale","AZ",NA,"Unknown",5,"1 to 50 employees","Advertising & Marketing","Business Services","Company - Private",9,"Dot818",34.1469,-118.247847
"3",489,"Data Analyst","Data Analyst Location Glendale, CA Duration 3 months contract Client is looking for Data Analyst to build reports, run statistical analysis, etc.",100.5,125,76,"Glendale","AZ",NA,"5-10 million",3.7,"51 to 200 employees","IT Services","Information Technology","Company - Private",20,"iSpace, Inc",34.1469,-118.247847
"4",517,"First Data Hire for IoT Startup: Manager level Data Scientist/Engineer","Are you interested in building a data team from the ground up? Are you interested in IoT and Energy Saving Solutions? If so, a Glendale Startup is hiring a Seasoned Data Scientist who can also build the baseline ETL pipelines for the business. In this role you will have the opportunity to choose the frameworks and tools that will be used, having technical freedom in the process. The data team is an integral part of this growing SaaS startup so you will also be responsible for building out the team with new hires as well.The ideal candidate has Machine Learning/AI experience, with the ability to do data visualization and build data models, using the data to provide energy saving insights. As this is the first data hire you will also be able to build ETL pipelines from scratch. Any prior managerial experience or prior startup experience is a big plus. The role offers medical benefits, stock options, work flexibility with remote options, and a competitive base salary.Required Skills & Experience* Data Managerial experience* 5+ years as a Data Scientist* 3+ years of Data Engineering/ ETL experience* Experience with data models/visualization/analysis* Ability to apply AI and Machine Learning* Greenfield development/startup experienceDesired Skills & Experience* Experience in the Energy industry* Interest in building a team from scratch* BS/MS in Computer Science or related degreeWhat You Will Be DoingTech Breakdown* 50% Data Engineering* 50% Data ScienceThe Offer* Competitive Salary: Up to $200,000/year, DOEYou Will Receive The Following Benefits* Medical Insurance & Health Savings Account (HSA)* Paid Time Off* Stock Options* Flexible Work Hours* Remote Options* New Office SpaceApplicants must be currently authorized to work in the United States on a full-time basis now and in the future.Jobspring Partners, part of the Motion Recruitment network, provides IT Staffing Solutions (Contract, Contract-to-Hire, and Direct Hire) in major North American markets. Our unique expertise in today's highest demand tech skill sets, paired with our deep networks and knowledge of our local technology markets, results in an exemplary track record with candidates and clients.",170,208,132,"Glendale","AZ",NA,"1-5 million",1.6,"1 to 50 employees","Advertising & Marketing","Business Services","Company - Public",NA,"Management Decisions, Inc.",34.1469,-118.247847
"5",576,"Business Intelligence Analyst","Job Description
Develop, test, Quality Assurance (QA), implementing analytical and reporting solutions of Business Intelligence programs using Data Warehousing tools from MicroStrategy, Informatica, IBM-Netezza, Oracle, and Web Technologies
Design, develop, implement and test logical and physical data models
Perform data cleansing, extraction, and transformations (ETL), load processes
Provide technical support during parallel runs, consult the user to set operating procedures and clarify program objectives
Write codes following given standards and carry out QA tests as per plan.
Develop documentation for QA, testing application modules, user＊s instructions and technical reference and provide support to users.
Flexible for Travel
Requirements

Bachelor＊s Degree + 5 yrs. progressive experience in job or related occupation or Master＊s Degree

No. Of Open Positions


Multiple positions, various levels

What is in it for you?


In addition to a competitive package and a rewarding working environment, Systech gives you the opportunity to play a key role in a rapidly growing entrepreneurial company, working alongside some of the foremost BI experts in the world to deliver innovative BI solutions at leading global corporations. Our emerging solutions also offer an opportunity to present at industry conferences such as Oracle OpenWorld, Informatica World, MicroStrategy World, EnZee World 每 and the platform to develop into a thought leader in the field of Business Intelligence, Data Integration and Analytics. Apply now and join us in mastering the data realm.",109,143,75,"Glendale","AZ",NA,"1-2 billion",3.1,"201 to 500 employees","IT Services","Information Technology","Company - Private",27,"Systech Business Solutions",34.1469,-118.247847
"6",580,"Quantum Research Scientist, Test and Measurement","The Amazon Web Services (AWS) Center for Quantum Computing in Pasadena, CA, is looking to hire a Quantum Research Scientist in the Test and Measurement group. You will join a multi-disciplinary team of theoretical and experimental physicists, materials scientists, and hardware and software engineers working at the forefront of quantum computing. You should have a deep and broad knowledge of experimental measurement techniques.

Candidates with a track record of original scientific contributions will be preferred. We are looking for candidates with strong engineering principles, resourcefulness and a bias for action, superior problem solving, and excellent communication skills. Working effectively within a team environment is essential. As a research scientist you will be expected to work on new ideas and stay abreast of the field of experimental quantum computation.

Basic Qualifications

﹞ PhD in physics, applied physics, or electrical engineering
﹞ Depth and breadth in experimental test and measurement techniques
﹞ Proficient in a scientific programming environment (one or more of Julia, Python, Mathematica, MATLAB)
﹞ Excellent skills in problem solving, organization, and communication
﹞ Thrives in a collaborative environment
﹞ Curiosity/capability to research and learn new techniques or technical topics as needed
﹞ Comfortable working in a diverse group and contributing to an inclusive culture
﹞ Experience working closely with scientists and engineers having a wide range of technical skill levels
﹞ Experience with four of the following:
-Low-noise measurement analysis and techniques
-RF test equipment and circuit analysis
-Construction of high-performance test setups
-Troubleshooting and operation/construction of cryogenic hardware
-Setup of highly structured automated data taking and analysis
-Nanofabrication of chip scale devices
-Design and layout of chip scale devices

Preferred Qualifications

﹞ Experience in testing superconducting microwave/RF circuits
﹞ Strong command of the basic toolset for analyzing superconducting circuits (circuit Lagrangians and Hamiltonians, canonical quantization, etc.)
﹞ Experience in multi-qubit calibration and testing
﹞ Experience in gate optimization and system identification
﹞ Familiarity with a variety of quantum computing architectures and algorithms",109,143,75,"Glendale","AZ",NA,"10+ billion",3.9,"10000+ employees","Internet","Information Technology","Company - Public",26,"Amazon",34.1469,-118.247847
"7",654,"Senior Data Analyst","DISQO is a next-generation consumer insights platform. We provide the highest quality consumer data to the world's largest market research agencies, analytics companies, and brands. We operate one of the world's largest true consumer insights panels. This data helps our clients understand user behavior, build better experiences, and make better decisions. We utilize cutting-edge technology and innovative, out-of-the-box strategies to collect and analyze insights that help shape the products and services of tomorrow.

We are looking to add a world-class Senior Data Analyst to our team. The Senior Data Analyst will provide insights into how our Marketing Campaigns are performing, measure Marketing KPIs and suggest improvements/optimizations based on LTV Projections. As an Organization we thrive on OKRs and KPIs, we build processes and measure outcomes to create efficiencies in everything we do. This is the first Growth Marketing Data Analyst we are hiring in the Data Analytics team which is exciting as Analytics branches out to Marketing.

If you have worked in a startup as a Senior Data Analyst, tracked KPIs and provided insights and recommendations on campaigns we'd love to talk to you.

Check out the DISQO Developer Blog for the latest from our DISQOTECH team.

What you will do:
Collaborate with business, marketing, engineering and product teams to understand business needs to be able to analyze complex data and clearly communicate findings
Design metrics, reports and dashboards that help the product and marketing teams and all the stakeholders better understand the user journey, monitor business health, and access data insights
Provide timely, thorough reporting on new product features and releases
Develop requirements for data-related projects and work with the data team to see projects from start to finish
Utilize quantitative techniques to test hypotheses and analyze the impact of product updates
Create advanced SQL queries in MySQL, Postgres and Redshift
Contribute to the design of internal procedures and partner with engineering to improve data consistency, cleanliness, and ease of use
What you bring to the table:
Mastery of SQL knowledge with databases such as RedShift, PostgreSQL, and/or MySQL
5+ years of work experience in data analysis with SQL
Aptitude for working with a diverse set of stakeholders and managing competing priorities
Experience using statistical analysis and modeling techniques such as regression
Experience with BI tools such as Tableau
Experience in product analytics
Experience measuring A/B tests
Knowledge of Jupyter notebooks a plus
Knowledge of Spark SQL is a plus
Knowledge of Python is a plus
Benefits & Perks:
100% covered Medical/Dental/Vision for employee
Equity
Unlimited Vacation
Flexible work hours
Catered lunches 3x a week
Stocked pantry
Happy Hours
Onsite Fitness Program
Discounted Gym Membership
Quarterly Offsites
401K
Life Insurance
FSA
Paid Maternity/Paternity leave
Employee Assistance Program
Travel Assistance Program
DISQO is an equal opportunity employer

*Recruiting firms that submit resumes to DISQO without first entering into a written contract will not be entitled to any compensation on candidates referred by that firm.

DISQO Developer",148.5,184,113,"Glendale","AZ",NA,"Unknown",4.7,"51 to 200 employees","Research & Development","Business Services","Company - Private",6,"DISQO",34.1469,-118.247847
"8",684,"Data Engineer","Company Overview:
Age of Learning is a leading education technology innovator based in Glendale, California, with a talented team of 500+ individuals comprised of nationally-renowned educators, curriculum experts, designers, animators, engineers, and more. We develop engaging, effective digital learning technology and content to help children build a strong academic foundation for lifelong success.
Our flagship product ABCmouse.com Early Learning Academy? is a comprehensive online curriculum and the #1 digital learning product for young children. To-date, more than 30 million children worldwide have completed over 6 billion Learning Activities on ABCmouse. We recently launched Adventure Academy, the first massively multiplayer online (MMO) game designed specifically to help elementary- and middle-school-aged children learn. It features thousands of engaging Learning Activities〞including minigames, books, original animated and live action series, and more〞in a fun and safe virtual world. Other Age of Learning programs include immersive English language learning products for children in China and Japan; ReadingIQ, a digital library and literacy platform; and a groundbreaking personalized, adaptive digital learning system that individualizes math instruction for every child through AI-driven technology.

We are committed to helping all children succeed. We provide our educational programs at no cost to teachers, Head Start programs, public libraries, and other community organizations, and have served millions of children through these initiatives. We recently established the Age of Learning Foundation to expand this work globally.
As we expand our global reach and increase the educational impact of our programs, we＊re looking for passionate, ambitious, and collaborative leaders to become a part of our growing team.


Summary:
We are seeking a full-time, in-house Senior Data Engineer to join our development team. This person will be helping us develop high performance, high-throughput services using modern technologies and techniques.
Responsibilities:
Design, develop, test, implement and support applications using custom ETL (Extract Transform Load) or open source tools such as Talend
Prepare high-level component architecture; design documents, data flow diagrams, detail design documents, data schema and modeling combined with test plan documents
Design, develop and test highly available and scalable data pipelines and relevant data storage systems to enable business success across a multi-product functionality
Proactively identify operational and systemic issues within the data supply value chain (from collection to processing to reporting) and work with production operations (DevOps) team to implement monitoring solutions
Ensure testing and validation best practices are followed across the team so that accuracy of data transformations and data verification are complete and documented
Execute in a fast-paced matrix organization across product and engineering teams to identify best data-driven solutions for the underlying data infrastructure and platform
Ensure high operational efficiency and quality of your solutions to meet SLA (Service Level Agreement) and support commitment to stakeholders (both internal and external)
Be an active participant and advocate of agile/scrum practice to ensure health and process improvements for your team
Required Qualifications:
Experience designing and building large, scalable data systems, preferably across a multi-product portfolio
Strong SQL skills with proven ability to write complex data queries across large data sets.
Exposure to software development, preferably in an Agile/Scrum/Kanban environment across multiple products
Experience analyzing and manipulating data across diverse data sources (Python, Scala)
Experience working across AWS (Amazon Web Services) cloud environment (EC2, S3, RDS, Sagemaker)
Strong exposure to Big Data technology, preferably across a containerized environment (Hadoop, Spark, Hive, Presto)
Experience with sourcing and modeling data from Restful API (Application Programming Interface)
Strong attention to detail with excellent analytical, problem-solving, and communication skills
Bachelor＊s degree in Computer Science, Computer Engineering, or Information Technology or a related field, or an equivalent combination of education and experience
Exemplary communication skills (both written and verbal), with experience producing technical and design documentation of complex processes
Good time management and ability to work on concurrent assignments with different priorities
Ability to work in a fast paced, iterative development environment with short turnaround times
Preferred Qualifications:
Experience with A/B Testing and related optimization across desktop and mobile in a digital environment a plus (examples include: Optimizely, Leanplum, deltaDNA)
Experience analyzing and manipulating data across several data formats (JSON, Avro, Parquet, ORC)
Experience building and architecting data warehouse workflows in large cloud-based production environments (Snowflake is an example)
Understanding of columnar data warehouse solutions (Redshift, Vertica)
Experience migrating on-prem data solutions to the cloud with a strong data operational hygiene
Experience developing and maintaining metadata catalogue APIs across a variety of data sources (AWS Glue, Metacat)
Prior experience working in educational technology companies or a related competitive landscape is a plus
We Provide:
Medical, Dental, Vision + 401k
Highly competitive PTO policy
Casual Dress Code
Snacks + Drinks (Coca Cola Freestyle Machine)
Gaming room including an Arcade (2,000+ games)
Frequent team and company outings
Limitless opportunities for professional growth!",150,164,136,"Glendale","AZ",NA,"100-500 million",3.3,"501 to 1000 employees","K-12 Education","Education","Company - Private",13,"Age of Learning",34.1469,-118.247847
"9",1288,"Principal Data Scientist","Job Description


Here at Discount Tire, we celebrate the spirit of our people with extraordinary pride and enthusiasm. As America＊s largest independent tire retailer, specializing in tires & wheels, we have over 1,000 store locations and continue to grow every year. Our consistent growth over the last 60 years, the loyalty of our customers and passion of our people makes Discount Tire a great place to work.

Even more exciting, Discount Tire is predicting, embracing and driving the changes expected in the Automotive Industry. In particular, Data and Analytics are seen as our competitive advantage. As a Data Scientist you will be central in helping our company Executives address short term and long-term opportunities. In this role, you will actively be involved in shaping the company strategy. We are leveraging a word class data environment so that this position can help us to:
Develop decision support and predictive solutions for customers and staff.
Leverage AI for pattern recognition and beyond
Optimize business outcomes
Gain insights from big data
As a Senior Data Scientist, you will collaborate with a large, multi-disciplinary team of solution architects, engineers and data scientists on a wide range of business problems. You will not only work on large scale projects to provide value to the customers but are also routinely involved in building our internal R&D capability to have an edge in the analytics industry. We work on providing solutions to a wide range of clients coming from various domains including oil & mining, financial services and retail industry.

Essential Duties and Responsibilities:
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Work on advanced analytics areas like deep learning and complex statistical data analysis
Interaction with senior leadership and other business leaders to provide business recommendations with effective presentations of findings, including visual displays of quantitative information
Develop analysis, forecasting and optimization methods/models to provide the business solution to internal customers
Research and develop internal capabilities to enhance the skill-sets on latest data science developments, work towards producing innovative solutions to the existing challenges
Perform quality control of deliverables
Provide thought leadership in algorithmic and process innovations, and contribute to creativity in solving unconventional problems

Job Requirements


Qualifications:

Analysis
Experience with writing SQL queries, performing basic conversion and transformations (e.g. formatting date string), and obtaining statistical summaries by using windowing functions.
Experience with usage of R/RStudio, Python, Jupyter Notebook
Experience with version control tool like Git
Strong experience with Excel and PowerPoint to present results
Ability to write scripts to automate ETL tasks
Problem Solving
Ability to run standard model algorithms in Python, to perform: classification/regression, clustering, basic text analytics, image recognition, etc. E.g. run a classification problem using random forest, and obtain the variable importance, produce performance metrics/KPIs; run a k-means clustering problem, produce a KPI to quantify the goodness of clusters
Demonstrated skills in selecting the right statistical tools given a data analysis problem
Experience with charting tools & knowledge of the proper charting tool to use, such as Excel. For instance, when to use box-and-whiskers plot, when to use waterfall. Ability to zoom-in to smaller data sets or display subcategories
Capable of running multiple scenarios and pick up the optimal solution
Capable of understanding advanced mathematical or physical explanations, to implement or execute the requested tasks. E.g. Fourier Transform, Power Spectral Density, Monte Carlo simulation, etc.
Actively participates and contributes in brain-storming session. Can work seamlessly with people from other disciplines: IT engineers, SMEs, stakeholders.
Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations
Experience in AI / Deep Learning for text/image/video analytics preferred
Experience in Cloud Computing and data streaming preferred
Team & Business Skills
Consistently improves communication skills, both verbally and in written materials
Demonstrated creativity in problem solving
Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.
Flexibility in task switching. For instance, when there is urgent requests or change of projects, can accommodate the changes without protesting
Mindful of iterations and quality check in a smaller team, before presenting results to larger audience
Raises critical issues when detected
Educational Requirements:

Ph.D. in a quantitative discipline (e.g., statistics, computer science, economics, mathematics, physics, electrical engineering, industrial engineering or other STEM fields)

Work Experience

5+ years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / data engineer).

Work Days:

Normal work days are Monday through Friday. Occasional Saturdays and Sundays may be necessary.

Work Hours:

Normal work hours are 8:00 a.m. to 5:00 p.m. Additional hours may be necessary.

Apply
Not ready to",122.5,151,94,"Scottsdale","AZ",NA,"2-5 billion",4,"10000+ employees","Automotive Parts & Accessories Stores","Retail","Company - Private",60,"Discount Tire",33.4942,-111.926018
"10",1289,"Data Scientist","Data Scientist
If you are a Data Scientist with experience, please read on!
What You Will Be Doing
Developing algorithms for building information for example, spatial and natural language
Develop data analysis algorithms for Facility Operations
Develop data collection and management modules
Develop low maintenance code
Be a technical authority to drive best practices for critical programs
Work with facility managers to assess applications
What You Need for this Position
Bachelors in Computer Science or equivalent experience
3+ years of Software Development using Python, Matlab or similar
Scripting using JavaScript/AJAX
Passion for investigative product insight
Machine Learning, NLP, pattern recognition
MS Windows Server or similar
Relational database management systems, MYSQL
Agile Project Management
Great communication and quality teamwork.
So, if you are a Data Scientist with experience, please apply today!
-
Applicants must be authorized to work in the U.S.


CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",122.5,151,94,"Phoenix","AZ",NA,"100-500 million",4.2,"201 to 500 employees","Staffing & Outsourcing","Business Services","Subsidiary or Business Segment",21,"CyberCoders",33.4484,-112.074142
