id,Job.Title,Est_Salary,Max_Salary,Min_Salary,City,State,Easy.Apply,Revenue_USD,Rating,Size,Industry,Sector,Type.of.ownership,Years_Founded,Company.Name,lat,lon,Count
349,Data Scientist,133,164,102,Glendale,AZ,NA,Unknown,4.2,51 to 200 employees,Research & Development,Business Services,Company - Private,6,Beyond Limits,34.1469,-118.247847,1
402,Data Analyst,146.5,180,113,Glendale,AZ,NA,Unknown,5,1 to 50 employees,Advertising & Marketing,Business Services,Company - Private,9,Dot818,34.1469,-118.247847,1
489,Data Analyst,100.5,125,76,Glendale,AZ,NA,5-10 million,3.7,51 to 200 employees,IT Services,Information Technology,Company - Private,20,"iSpace, Inc",34.1469,-118.247847,1
517,First Data Hire for IoT Startup: Manager level Data Scientist/Engineer,170,208,132,Glendale,AZ,NA,1-5 million,1.6,1 to 50 employees,Advertising & Marketing,Business Services,Company - Public,NA,"Management Decisions, Inc.",34.1469,-118.247847,1
576,Business Intelligence Analyst,109,143,75,Glendale,AZ,NA,1-2 billion,3.1,201 to 500 employees,IT Services,Information Technology,Company - Private,27,Systech Business Solutions,34.1469,-118.247847,1
580,"Quantum Research Scientist, Test and Measurement",109,143,75,Glendale,AZ,NA,10+ billion,3.9,10000+ employees,Internet,Information Technology,Company - Public,26,Amazon,34.1469,-118.247847,1
654,Senior Data Analyst,148.5,184,113,Glendale,AZ,NA,Unknown,4.7,51 to 200 employees,Research & Development,Business Services,Company - Private,6,DISQO,34.1469,-118.247847,1
684,Data Engineer,150,164,136,Glendale,AZ,NA,100-500 million,3.3,501 to 1000 employees,K-12 Education,Education,Company - Private,13,Age of Learning,34.1469,-118.247847,1
1288,Principal Data Scientist,122.5,151,94,Scottsdale,AZ,NA,2-5 billion,4,10000+ employees,Automotive Parts & Accessories Stores,Retail,Company - Private,60,Discount Tire,33.4942,-111.926018,1
1289,Data Scientist,122.5,151,94,Phoenix,AZ,NA,100-500 million,4.2,201 to 500 employees,Staffing & Outsourcing,Business Services,Subsidiary or Business Segment,21,CyberCoders,33.4484,-112.074142,1
1290,Human Factors Scientist,122.5,151,94,Phoenix,AZ,NA,100-500 million,3.5,1001 to 5000 employees,Consulting,Business Services,Company - Public,53,Exponent,33.4484,-112.074142,1
1291,Senior Data Analyst,122.5,151,94,Phoenix,AZ,NA,1-2 billion,4.4,201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10,Integrate,33.4484,-112.074142,1
1292,Data Analyst,122.5,151,94,Tempe,AZ,NA,10+ billion,3.1,10000+ employees,Banks & Credit Unions,Finance,Company - Public,156,MUFG,33.4255,-111.940009,1
1293,ETL/Data Engineer I (datastage),122.5,151,94,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Insurance Carriers,Insurance,Company - Private,98,USAA,33.4484,-112.074142,1
1294,Data Scientist 2,122.5,151,94,Phoenix,AZ,NA,10+ billion,3.6,10000+ employees,Insurance Carriers,Insurance,Company - Public,59,Humana,33.4484,-112.074142,1
1295,Data Scientist - Customer Success,122.5,151,94,Phoenix,AZ,NA,Unknown,4.8,1001 to 5000 employees,IT Services,Information Technology,Company - Public,9,Zoom Video Communications,33.4484,-112.074142,1
1296,Data Scientist,122.5,151,94,Chandler,AZ,NA,Unknown,4.4,201 to 500 employees,Real Estate,Real Estate,Company - Private,5,Offerpad,33.3062,-111.84125,1
1297,Data Scientist with Python,122.5,151,94,Phoenix,AZ,NA,1-2 billion,4.1,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,21,Sysmind LLC,33.4484,-112.074142,1
