State,Sector,n
AZ,,128
AZ,Accounting & Legal,14
AZ,"Arts, Entertainment & Recreation",2
AZ,Biotech & Pharmaceuticals,10
AZ,Business Services,173
AZ,"Construction, Repair & Maintenance",7
AZ,Education,18
AZ,Finance,88
AZ,Government,15
AZ,Health Care,34
AZ,Information Technology,289
AZ,Insurance,45
AZ,Manufacturing,31
AZ,Media,4
AZ,Non-Profit,1
AZ,"Oil, Gas, Energy & Utilities",5
AZ,Real Estate,2
AZ,"Restaurants, Bars & Food Services",3
AZ,Retail,37
AZ,Telecommunications,9
AZ,Transportation & Logistics,13
AZ,Travel & Tourism,3
CA,,480
CA,Accounting & Legal,62
CA,Aerospace & Defense,66
CA,Agriculture & Forestry,3
CA,"Arts, Entertainment & Recreation",3
CA,Biotech & Pharmaceuticals,225
CA,Business Services,514
CA,"Construction, Repair & Maintenance",16
CA,Consumer Services,24
CA,Education,88
CA,Finance,111
CA,Government,41
CA,Health Care,121
CA,Information Technology,1140
CA,Insurance,54
CA,Manufacturing,108
CA,Media,107
CA,Non-Profit,16
CA,"Oil, Gas, Energy & Utilities",23
CA,Real Estate,17
CA,"Restaurants, Bars & Food Services",2
CA,Retail,45
CA,Telecommunications,15
CA,Transportation & Logistics,21
CA,Travel & Tourism,1
CO,,10
CO,Aerospace & Defense,3
CO,Business Services,28
CO,"Construction, Repair & Maintenance",1
CO,Finance,2
CO,Government,4
CO,Health Care,6
CO,Information Technology,34
CO,Manufacturing,1
CO,"Oil, Gas, Energy & Utilities",2
CO,Retail,1
CO,Telecommunications,3
CO,Travel & Tourism,1
DE,,10
DE,Agriculture & Forestry,1
DE,Biotech & Pharmaceuticals,1
DE,Business Services,25
DE,Consumer Services,1
DE,Finance,15
DE,Information Technology,16
DE,Insurance,1
DE,Manufacturing,1
DE,Transportation & Logistics,3
FL,,39
FL,Accounting & Legal,1
FL,Aerospace & Defense,5
FL,Biotech & Pharmaceuticals,3
FL,Business Services,64
FL,"Construction, Repair & Maintenance",1
FL,Education,1
FL,Finance,12
FL,Government,7
FL,Health Care,12
FL,Information Technology,40
FL,Insurance,17
FL,Manufacturing,2
FL,Non-Profit,4
FL,"Oil, Gas, Energy & Utilities",5
FL,Real Estate,3
FL,"Restaurants, Bars & Food Services",1
FL,Retail,3
FL,Transportation & Logistics,4
GA,Education,1
GA,Information Technology,3
IL,,128
IL,Accounting & Legal,24
IL,Aerospace & Defense,2
IL,"Arts, Entertainment & Recreation",3
IL,Biotech & Pharmaceuticals,20
IL,Business Services,236
IL,"Construction, Repair & Maintenance",7
IL,Consumer Services,3
IL,Education,27
IL,Finance,116
IL,Government,14
IL,Health Care,51
IL,Information Technology,285
IL,Insurance,31
IL,Manufacturing,47
IL,Media,11
IL,Non-Profit,7
IL,"Oil, Gas, Energy & Utilities",4
IL,Real Estate,8
IL,"Restaurants, Bars & Food Services",1
IL,Retail,16
IL,Telecommunications,3
IL,Transportation & Logistics,9
IL,Travel & Tourism,2
IN,,1
IN,Business Services,4
IN,Finance,2
IN,Health Care,2
IN,Information Technology,8
IN,Insurance,2
IN,"Restaurants, Bars & Food Services",2
IN,Retail,1
IN,Transportation & Logistics,1
KS,,1
KS,Information Technology,2
NC,,14
NC,Accounting & Legal,1
NC,Business Services,30
NC,"Construction, Repair & Maintenance",1
NC,Finance,7
NC,Health Care,2
NC,Information Technology,24
NC,Insurance,2
NC,Retail,5
NC,Transportation & Logistics,4
NJ,,36
NJ,Accounting & Legal,3
NJ,Aerospace & Defense,3
NJ,"Arts, Entertainment & Recreation",4
NJ,Biotech & Pharmaceuticals,6
NJ,Business Services,43
NJ,"Construction, Repair & Maintenance",1
NJ,Consumer Services,2
NJ,Finance,39
NJ,Health Care,6
NJ,Information Technology,52
NJ,Insurance,12
NJ,Manufacturing,11
NJ,Media,3
NJ,Mining & Metals,2
NJ,Non-Profit,1
NJ,"Oil, Gas, Energy & Utilities",1
NJ,"Restaurants, Bars & Food Services",2
NJ,Retail,3
NJ,Transportation & Logistics,1
NY,,179
NY,Accounting & Legal,14
NY,Agriculture & Forestry,3
NY,"Arts, Entertainment & Recreation",5
NY,Biotech & Pharmaceuticals,4
NY,Business Services,224
NY,"Construction, Repair & Maintenance",1
NY,Consumer Services,13
NY,Education,11
NY,Finance,132
NY,Government,7
NY,Health Care,67
NY,Information Technology,290
NY,Insurance,43
NY,Manufacturing,10
NY,Media,39
NY,Non-Profit,19
NY,"Oil, Gas, Energy & Utilities",3
NY,Real Estate,4
NY,"Restaurants, Bars & Food Services",5
NY,Retail,22
NY,Telecommunications,3
NY,Transportation & Logistics,1
NY,Travel & Tourism,1
OH,,31
OH,Accounting & Legal,4
OH,Biotech & Pharmaceuticals,11
OH,Business Services,44
OH,"Construction, Repair & Maintenance",2
OH,Consumer Services,1
OH,Education,2
OH,Finance,24
OH,Government,3
OH,Health Care,33
OH,Information Technology,36
OH,Insurance,6
OH,Manufacturing,2
OH,"Oil, Gas, Energy & Utilities",5
OH,Retail,5
OH,Transportation & Logistics,3
PA,,105
PA,Accounting & Legal,13
PA,Aerospace & Defense,8
PA,"Arts, Entertainment & Recreation",5
PA,Biotech & Pharmaceuticals,105
PA,Business Services,199
PA,"Construction, Repair & Maintenance",1
PA,Consumer Services,2
PA,Education,22
PA,Finance,45
PA,Government,12
PA,Health Care,40
PA,Information Technology,219
PA,Insurance,41
PA,Manufacturing,15
PA,Media,7
PA,Non-Profit,5
PA,"Oil, Gas, Energy & Utilities",6
PA,Real Estate,5
PA,Retail,11
PA,Telecommunications,11
PA,Transportation & Logistics,9
SC,,1
SC,Business Services,1
SC,Information Technology,1
TX,,547
TX,Accounting & Legal,77
TX,Aerospace & Defense,128
TX,Agriculture & Forestry,1
TX,"Arts, Entertainment & Recreation",5
TX,Biotech & Pharmaceuticals,33
TX,Business Services,796
TX,"Construction, Repair & Maintenance",19
TX,Consumer Services,26
TX,Education,78
TX,Finance,307
TX,Government,112
TX,Health Care,157
TX,Information Technology,1165
TX,Insurance,127
TX,Manufacturing,118
TX,Media,35
TX,Mining & Metals,1
TX,Non-Profit,17
TX,"Oil, Gas, Energy & Utilities",85
TX,Real Estate,19
TX,"Restaurants, Bars & Food Services",16
TX,Retail,61
TX,Telecommunications,37
TX,Transportation & Logistics,17
TX,Travel & Tourism,3
United Kingdom,Biotech & Pharmaceuticals,4
UT,,9
UT,Accounting & Legal,1
UT,Business Services,6
UT,Education,1
UT,Finance,1
UT,Government,1
UT,Information Technology,9
UT,Manufacturing,3
UT,"Oil, Gas, Energy & Utilities",2
VA,,7
VA,Accounting & Legal,1
VA,Aerospace & Defense,3
VA,Business Services,17
VA,"Construction, Repair & Maintenance",2
VA,Education,1
VA,Information Technology,10
VA,Manufacturing,1
VA,Non-Profit,2
VA,Real Estate,1
VA,Retail,1
VA,Telecommunications,2
WA,,10
WA,Accounting & Legal,1
WA,Aerospace & Defense,1
WA,Business Services,12
WA,Education,1
WA,Finance,4
WA,Information Technology,16
WA,Insurance,1
WA,Media,1
WA,Non-Profit,2
WA,Retail,3
WA,Transportation & Logistics,1
